cell_id,checkpoint,family_contract,bounded,terminated,diagnostics,planned,evaluated,missing,preserved,observed_case_rate,full_inventory_rate,interpretation,denominator_policy
61348508e40d54351613ab14,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}",100,100,0,86,0.86,0.86,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
88af67fa5945b642e8ba7974,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}",100,100,0,86,0.86,0.86,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
915f97b05f3fa2a81de09cdf,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}",100,100,0,86,0.86,0.86,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
4aa4849ba414edab2504f56b,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}",100,100,0,86,0.86,0.86,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
9ebc93cc7912bd5d1c929418,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""evaluated_value"":0.86,""numerator"":86.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.86}","{""expected_n"":100,""preserved_fraction"":0.86,""preserved_n"":86,""preserved_terminated_fraction"":0.86,""preserved_terminated_n"":86,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":0,""reference_truncated_n"":0,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":0,""unavailable_n"":0}",100,100,0,86,0.86,0.86,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
ce0d0ffc2a58a60e27c460d9,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":1.0,""numerator"":100.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":1.0}","{""evaluated_value"":0.65,""numerator"":65.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.65}","{""expected_n"":100,""preserved_fraction"":1.0,""preserved_n"":100,""preserved_terminated_fraction"":0.65,""preserved_terminated_n"":65,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":35,""reference_truncated_n"":35,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":35,""unavailable_n"":0}",100,100,0,100,1,1,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
95dfb24c6361b2d38dd60e9b,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":1.0,""numerator"":100.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":1.0}","{""evaluated_value"":0.65,""numerator"":65.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.65}","{""expected_n"":100,""preserved_fraction"":1.0,""preserved_n"":100,""preserved_terminated_fraction"":0.65,""preserved_terminated_n"":65,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":35,""reference_truncated_n"":35,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":35,""unavailable_n"":0}",100,100,0,100,1,1,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
6d0915056b1e76d8ee8795ff,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":1.0,""numerator"":100.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":1.0}","{""evaluated_value"":0.65,""numerator"":65.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.65}","{""expected_n"":100,""preserved_fraction"":1.0,""preserved_n"":100,""preserved_terminated_fraction"":0.65,""preserved_terminated_n"":65,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":35,""reference_truncated_n"":35,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":35,""unavailable_n"":0}",100,100,0,100,1,1,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
7c9675a69d832a772070cb2d,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":1.0,""numerator"":100.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":1.0}","{""evaluated_value"":0.65,""numerator"":65.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.65}","{""expected_n"":100,""preserved_fraction"":1.0,""preserved_n"":100,""preserved_terminated_fraction"":0.65,""preserved_terminated_n"":65,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":35,""reference_truncated_n"":35,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":35,""unavailable_n"":0}",100,100,0,100,1,1,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
95016bc16e89cfcccccc40b8,1000,"{""counterfact_mquake"":""exact_nonempty_relation_id"",""decision"":""DEC-061"",""family"":""NM-template-v1"",""missing"":""retain_planned_ids_and_unavailable_reason_no_replacement_no_redraw"",""pairing"":""lexical_support_item_id_then_first_unused_lexical_neighbour_same_family"",""scoring"":""DEC-053_bounded_text_equality_neighbour_vs_its_actual_cap_off_baseline"",""subjects"":""different_globally_reserved_subjects"",""zsre"":""exact_normalized_subject_masked_question_template_single_whole_word_occurrence""}","{""evaluated_value"":1.0,""numerator"":100.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":1.0}","{""evaluated_value"":0.65,""numerator"":65.0,""planned"":100,""scored"":100,""status"":""complete"",""status_counts"":{""ok"":100},""value"":0.65}","{""expected_n"":100,""preserved_fraction"":1.0,""preserved_n"":100,""preserved_terminated_fraction"":0.65,""preserved_terminated_n"":65,""primary_convention"":""DEC-053 bounded exact decoded-text equality, no normalization or termination requirement"",""query_truncated_n"":35,""reference_truncated_n"":35,""scored_n"":100,""secondary_convention"":""same decoded text and neither side truncated"",""status"":""complete"",""truncated_pair_n"":35,""unavailable_n"":0}",100,100,0,100,1,1,different-subject exact relation/template specificity; not semantic nearest neighbours,planned slots retained; full rate unavailable with any missing case; no acquisition filter
